中文名称,英文名称,定义
双子叶植物,dicotyledonous plant,植物种子胚中具子叶2枚。
单子叶植物,monocotyledonous plant,植物种子胚中具子叶1枚。
完全叶,complete leaf,凡具备叶片、叶柄和托叶三部分的叶，如桃、桑、天竺葵的叶。
不完全叶,incomplete leaf,缺少任何一部分或两部分的叶，如女贞、樟树的叶无托叶，烟草、荠菜无叶柄，莴苣的茎生叶无叶柄及托叶等。
叶片,blade,是叶的主要部分，一般为绿色而薄的扁平体，有上表面（腹面）和下表面（背面）之分。
叶柄,petiole,是茎与叶片的连接部位。一般为圆柱形、半圆柱形或稍扁平，上表面（腹面）多有沟槽。
托叶,stipules,是叶柄基部的附属物，常成对生于叶柄基部的两侧。
叶形,phylliform,叶片的全形，主要是根据叶片的长度和宽度的比例以及最宽部分的位置来确定。常见的叶形有多种，如针形、披针形、椭圆形等。
叶端,leaf apex,叶片的尖端，或称叶尖。如尾尖、渐尖等。
叶基,leaf base,叶片的基部。如钝形、楔形等。
叶缘,leaf margin,叶片的边缘。如全缘、锯齿状等。
叶脉,veins,叶片中的维管束，有输导和支持作用。其中最大的叶脉称为主脉或中脉（midrib），主脉的分枝称为侧脉（lateral vein），侧脉的分枝称为细脉（veinlet）。
脉序,venation,叶脉在叶片中的分布及排列形式称为脉序（venation），可分为分叉脉序、平行脉序和网状脉序三种主要类型。
二叉脉序,dichotomous venation,每条叶脉呈多级二叉状分枝，是比较原始的一种脉序，蕨类植物中普遍存在，种子植物如银杏叶。
网状脉序,netted venation,具有明显的主脉，经主级分枝后，最小细脉相互连接形成网状。为大多数双子叶植物所具有。又分为羽状网脉和掌状网脉。
羽状网脉,pinnate venation,有一条明显的主脉，两侧分出许多侧脉，侧脉间又多次分出细脉交织成网状，如桂花、桃、萝蘑等。
掌状网脉,palmate venation,由叶基分出多条较粗大的叶脉，呈辐射状伸向叶缘，再生级分枝形成网状，如南瓜、大麻等。
平行脉序,parallel venation,叶脉多不分枝，各条叶脉近似于平行分布，分为直出平行脉、横出平行脉、射出平行脉、弧形脉等，为大多数单子叶植物所具有。
直出平行脉,straight parallel venation,主脉和侧脉自叶片基部平行伸出，直到尖端，如淡竹叶、麦冬等。
横出平行脉,pinnately parallel venation,主脉明显，其两侧有许多平行排列的侧脉与主脉垂直，如芭蕉等。
射出平行脉,radiate parallel venation,各条叶脉均自基部以辐射状态伸出，如棕榈。
弧形脉,arc venation,叶脉从叶片基部直达叶尖，中部弯曲呈弧形，如车前、黄精、紫萼等。
分裂,leaf division,叶片叶缘缺刻深而大，形成分裂状态。常见的叶片分裂有羽状分裂、掌状分裂和三出分裂等3种。根据叶片裂隙的深浅不同，又可分为浅裂、深裂和全裂等3种。
浅裂,lobed,叶裂深度不超过或接近叶片宽度的四分之一，如药用大黄、南瓜等。
深裂,parted,叶裂深度一般超过叶片宽度的四分之一，但不超过叶片宽度的二分之一，如唐古特大黄、荆芥等。
全裂,divided,叶裂几乎达到叶的主脉基部或两侧，形成数个全裂片，如大麻、白头翁等。
叶枕,"leaf cushion, pulvinus",植物叶柄基部具膨大的关节，能调节叶片的位置和休眠运动，如含羞草。
叶状柄,phyllode,植物叶片退化，叶柄变成绿色叶片状，以代替叶片的功能，如台湾相思树、柴胡等。
叶鞘,leaf sheath,有些植物的叶柄基部或全部扩大成鞘状，部分或全部包裹着茎秆，如白芷、小茴香等伞形科植物、禾本科植物如小麦、水稻等。
叶舌,ligule,禾本科植物的叶鞘与叶片连接处还有膜状的突起物，能够使叶片向外弯曲，使叶片更多地接受阳光，同时可以防止水分、病虫害进入叶鞘。
叶耳,auricle,有些禾本科植物的叶鞘与叶片连接处的边缘部分形成突起。
抱茎叶,amplexicaul leaf,有些植物的叶不具叶柄，叶片基部包围在茎上，如苦荬菜。
贯穿叶,perfoliate leaf,或称为穿茎叶，无柄叶的基部或对生无柄叶的基部彼此愈合，被茎所贯穿，如元宝草。
