中文名称,英文名称,定义
裸子植物,gymnospermae,花中的心皮叶片状，不包被胚珠，种子裸露，无果皮包被。如银杏、红豆杉等。
被子植物,angiospermae,花中的心皮形成雌蕊，胚珠包被于子房中，成熟后种子被果皮包被。如杜仲、石斛等。
真果,true fruit,仅由子房发育形成的果实，如桃、杏、柑橘等。
假果,accessory fruit (false fruit),除子房外，花的其他部分如花被、花托及花序轴等也参与果实的形成，如苹果、无花果、凤梨等。
外果皮,exocarp,是果皮的最外层，通常较薄，外面常有角质层、蜡被、毛茸、气孔、刺、瘤突、翅等附属物。
中果皮,mesocarp,是果皮的中层，占果皮的大部分，多由薄壁细胞组成，具有多数细小维管束，中间可含石细胞、纤维、油细胞、油室及油管等。
内果皮,endocarp,是果皮的最内层，多由一层薄壁细胞组成，呈膜质。有的具1至多层石细胞，核果的内果皮（即果核）由多层石细胞组成，如杏、桃、梅等。
单果,simple fruit,1朵花具形成1个果实，由单雌蕊或复雌蕊形成。依据果皮质地的不同，分为肉质果和干果。
肉质果,fleshy fruit,成熟时果皮肉质多浆，不开裂。包括浆果、柑果、核果、瓠果、梨果等5种类型。
浆果,berry,由单雌蕊或复雌蕊的上位或下位子房发育形成的果实，外果皮薄，中果皮和内果皮肥厚、肉质多浆，内有1至多粒种子，如葡萄、枸杞、番茄等。
柑果,hesperidium,由复雌蕊的上位子房发育形成的果实，外果皮较厚，革质，内含多数油室；中果皮与外果皮结合，界限不明显，常疏松呈白色海绵状，内具多数分支的维管束（橘络）；内果皮膜质，分隔成多室，内壁上生有许多肉质多汁的囊状毛。柑果是芸香科柑橘属所特有的果实类型。
核果,drupe,由单雌蕊的上位子房发育而成，外果皮薄，中果皮肉质肥厚，内果皮坚硬，内含1粒种子，如杏、桃、梅等。核果有时泛指具有坚硬果核的果实，如人参、胡桃、苦楝等。
瓠果,pepo,由三心皮复雌蕊、具侧膜胎座的下位子房与花托一起发育而成的假果，花托与外果皮形成坚韧的果实外层，中、内果皮及胎座肉质，成为果实的可食部分。为葫芦科特有的果实，如栝楼、西瓜、黄瓜等。
梨果,pome,由2~5个心皮复雌蕊的下位子房与花筒一起发育而成的假果，肉质可食部分是由花筒与外、中果皮一起发育而成，彼此界限不明显，内果皮坚韧，革质或木质，常分隔成2~5室，每室常含2粒种子。为蔷薇科苹果亚科特有的果实，如苹果、梨、山楂等。
干果,dry fruit,果实成熟时果皮干燥。根据开裂与否，可分为裂果和不裂果。
裂果,dehiscent fruit,果实成熟后果皮自行开裂，依据开裂方式不同分为蓇葖果、荚果、角果、蒴果等4种。
蓇葖果,follicle,由单雌蕊或离生心皮雌蕊发育形成的果实，成熟时沿腹缝线或背缝线一侧开裂。如络石的果实。
荚果,legume,由单雌蕊发育形成的果实，成熟时沿腹缝线和背缝线同时开裂，果皮裂成2片，是豆科植物特有的果实。少数荚果成熟时不开裂，如落花生。
角果,silique,是由二心皮复雌蕊发育而成，子房1室，二心皮边缘合生处具假隔膜，将子房分隔成2室。果实成熟时果皮沿两侧腹缝线开裂，成2片脱落，假隔膜仍留在果柄上。角果是十字花科特有的果实。角果分为长角果（silique）和短角果（silicle），长角果细长，如萝卜、油菜等；短角果宽短，如菘蓝、荠菜、独行菜等。
蒴果,capsule,由复雌蕊发育而成的果实，子房1至多室，每室含多数种子。果实成熟后开裂的方式有纵裂（室间开裂、室背开裂、室轴开裂）、孔裂、盖裂、齿裂等。
闭果,indehiscent fruit,果实成熟后，果皮不开裂或分离成几部分，但种子仍包被于果皮中。常分为瘦果、颖果、坚果、翅果、胞果、双悬果等6种。
瘦果,achene,含单粒种子的果实，成熟时果皮与种皮易分离，如何首乌、白头翁、毛茛等；菊科植物的瘦果是由下位子房与萼筒共同形成的，称连萼瘦果（cypsela），又称菊果，如蒲公英、红花、向日葵等。
颖果,caryopsis,"内含1粒种子，果实成熟时果皮与种皮愈合不易分离，是禾本科植物特有的果实，如小麦、玉米、薏苡等。农业生产中常把颖果称""种子""。"
坚果,nut,果皮坚硬，内含1粒种子，成熟时果皮和种皮分离。如壳斗科植物坚果果皮外有壳斗，唇形科果实为4枚小坚果。
翅果,samara,果皮一端或周边向外延伸成翅状，果实内含1粒种子，如杜仲、榆、臭椿等。
胞果,utricle,亦称囊果，由复雌蕊上位子房形成的果实，果皮薄，膨松地包围种子，而与种皮极易分离，如青葙、地肤子、藜等。
双悬果,cremocarp,由二心皮复雌蕊发育而成，果实成熟后心皮分离成2个分果（schizocarp），双双悬挂在心皮柄 （carpophorum）上端，心皮柄的基部与果柄相连，每个分果内各含1粒种子，为伞形科特有的果实，如当归、小茴香、蛇床子等。
聚合果,aggregate fruit,是由1朵花中许多离生雌蕊形成的果实，每个雌蕊形成1个单果，聚生于同一花托上。据单果类型不同，常见的有聚合浆果、聚合核果、聚合蓇葖果、聚合瘦果、聚合坚果等。
聚花果,multiple fruit,由整个花序发育而成的果实。其中每朵花发育成1个小果，聚生在花序轴上，成熟后从花轴基部整体脱落。如凤梨（菠萝）是由多数不育的花着生在肥大肉质的花序轴上所形成的果实，其肉质多汁的花序轴成为果实的可食部分；桑椹由花序发育所成，每朵花的子房各发育成一个小单果，包埋于肥厚多汁的肉质花序内；无花果是由隐头花序发育而成，成为隐头果（syconium），其花序轴肉质化并内陷成囊状，囊的内壁上着生许多小瘦果，其肉质化的花序轴是可食部分。
有胚乳种子,albuminous seed,种子中有发达的胚乳，胚相对较小，子叶薄，如玉米、蓖麻等的种子。
无胚乳种子,exalbuminous seed,种子中胚乳的养料在胚发育过程中被胚吸收并贮藏于子叶中，胚乳不存在或仅残留一薄层，这类种子常具有发达的子叶，如大豆、泽泻等的种子。
种缨,coma,种子的顶端具有的毛茸，如白前、萝藦、络石等夹竹桃科植物。
假种皮,aril,由珠柄或胎座部位的组织延伸而成，位于种皮外，肉质如龙眼、荔枝、苦瓜等，或膜质如砂仁、艳山姜等。



