中文名称,英文名称,定义
根系,root system,为一株植物地下部分全部根的总称。由于根的发生和形态不同，根系可分为直根系和须根系两类。
直根系,tap root system,主根发达，主根与侧根界限明显的根系称直根系。外形可见粗壮的主根和逐渐变细的各级侧根。直根系是裸子植物和大多数双子叶植物的主要根系类型，如党参、蒲公英等的根系。
须根系,fibrous root system,主根不发达或早期死亡，在胚轴或茎基部的节上生出许多粗细长短相仿的不定根，形成没有主次之分的根系，是单子叶植物的主要根系类型。
主根,main root,植物种子的胚根直接发育形成的根。
侧根,lateral root,当主根生长到一定长度时，侧向生出的支根。侧根可逐级发生。
纤维根,fibrous root,主根和侧根上形成的小分枝。
定根,normal root,由胚根直接或间接发育而来的主根、侧根和纤维根，有着固定的生长部位。
不定根,adventitious root,由胚轴、茎、叶或其他部位发生的根，生长部位不固定。
贮藏根,storage root,根的一部分或全部因贮藏营养物质而呈肉质肥大。依据其形态又可分为肉质直根和块根。
肉质直根,fleshy tap root,由主根发育而成，其上部具有胚轴和节间很短的茎。外形上有的肥大呈圆锥状，如白芷、桔梗等；有的肥大呈圆柱状，如丹参、菘蓝、甘草等；有的肥大呈圆球状，如芜菁的根。
块根,root tuber,由侧根或不定根膨大发育而成，在其膨大部分上端没有茎和胚轴。外形上往往不规则，一株植物可形成多个块根，如何首乌、天门冬、百部等。
支持根,prop root,植物自茎节上产生一些不定根伸入土中，能从土壤中吸收水分和无机盐，显著增强对植物体的支持作用。如薏苡、露兜树、玉米、甘蔗等在接近地面茎节上生出并扎入地下的不定根。
气生根,aerial root,由茎产生并暴露在空气中的不定根，具有在潮湿空气中吸收和贮藏水分的能力。如石斛、榕树、吊兰等植物的气生根。
攀援根,climbing root,攀援植物在其地上茎干上生出不定根，以使植物能攀附于树干、石壁、墙垣或其他物体。如常春藤、凌霄、薜荔等植物的攀援根。
水生根,water root,水生植物的根，一般呈须状，垂直漂浮在水中，纤细柔软并常带绿色。如满江红、睡莲、菱等的根。
呼吸根,respiratory root,生长在湖沼或热带海滩地带的一些植物，部分根垂直向上生长，暴露于空气中进行呼吸的根。如红树、木榄、水杉等具有呼吸根。
寄生根,parasitic root,一些寄生植物产生的不定根，能伸入寄主植物体内吸取水分和营养物质，以维持自身的生活。如菟丝子、列当、桑寄生、槲寄生等。其中菟丝子、列当等植物体内不含叶绿体，不能自制养料而完全依靠吸收寄主体内的养分维持生活的，称全寄生植物或非绿色寄生植物；桑寄生、槲寄生等植物含叶绿体，既能自制部分养料，又依靠寄生根吸收寄主体内的养分，称为半寄生植物或绿色寄生植物。
根瘤,root nodule,土壤中的根瘤细菌、放线菌和某些线虫侵入植物根部，形成的瘤状共生结构，在根的表面呈现很多的畸形小突起。自然界中的根瘤常见于豆科植物。

