中文名称,英文名称,定义,,,,,
隐花植物,cryptogam,或称孢子植物，指能产生孢子并用孢子进行有性生殖，不开花结果的植物，传统分类中包括藻类、菌类、地衣、苔藓、蕨类等。,,,,,
显花植物,phanerogam,或称种子植物，指有性生殖开花，形成种子并用种子进行繁殖的植物，包括裸子植物和被子植物。,,,,,
花芽,flower bud,发育成花或花序的芽。,,,·,,
花梗,pedicel,又称花柄，通常绿色、圆柱形，是花与茎的连接部分，使花处于一定的空间位置。花梗的有无、长短、粗细、形状等因植物的种类而异。果实形成时，花梗成为果梗。,,,,,
花托,receptacle,花梗顶端膨大的部分。花托的形状随植物种类而异。大多数植物的花托呈平坦或稍凸起的圆盘状；呈圆柱状的，如木兰、厚朴；呈圆锥状的，如草莓  呈倒圆锥状的，如莲；凹陷呈杯状的，如金樱子。,,,,,
花盘,disc,花托在雌蕊基部或在雄蕊与花冠之间形成肉质增厚，扁平垫状、杯状或裂瓣状结构，常可分泌蜜汁，如柑橘、卫矛、枣等。,,,,,
雌蕊柄,gynophore,花托在雌蕊基部向上延伸成一柱状体，如黄连、落花生等。,,,,,
雌雄蕊柄,androgynophore,花托在花冠以内的部分延伸成一柱状体，如西番莲。,,,,,
花被,perianth,是花萼和花冠的总称。,,,,,
花萼,calyx,是一朵花中所有萼片（sepals）的总称，位于花的最外层。萼片一般呈绿色的叶片状，其形态和构造与叶片相似。,,,,,
离生萼,chorisepalous calyx,萼片彼此分离，如毛茛、菘蓝等植物的花萼。,,,,,
合生萼,gamosepalous calyx,萼片中下部联合，如丹参、桔梗等，联合的部分称萼筒或萼管分离的部分称萼齿或萼裂片，萼筒形状和萼裂片数目在同种花中通常稳定。,,,,,
萼距,calyx spur,有些植物的萼筒一边向外凸起成伸长的管状，如旱金莲等。,,,,,
早落萼,caducous calyx,一般植物的花萼在花枯萎时脱落，有些植物的花萼在开花前即脱落，称为早落萼，如延胡索、白屈菜等。,,,,,
宿存萼,persistent calyx,有些植物的花萼在花枯萎时不脱落，并随果实一起增大，如柿、酸浆等。,,,,,
副萼,epicalyx,萼片一般排成一轮，若在花梗顶端、紧邻花萼下方另有一轮类似萼片状的苞片，称为副萼。如棉花、蜀葵等。,,,,,
瓣状萼,sepalum petaloideum,萼片大而颜色鲜艳，呈花瓣状，如乌头、铁线莲等。,,,,,
冠毛,pappus,指变态成羽毛状的花萼，如蒲公英等菊科植物。,,,,,
花冠,corolla,是一朵花中所有花瓣（petals）的总称，位于花萼的内侧，常具各种鲜艳的颜色。花瓣基部或具有能分泌蜜汁的腺体。,,,,,
离瓣花冠,choripetalous corolla,花瓣彼此分离，如甘草、仙鹤草等。,,,,,
合瓣花冠,synpetalous corolla,花瓣彼此联合，其下部联合的部分称花冠筒或花筒，上部分离的部分称花冠裂片，如丹参、桔梗等。,,,,,
花冠距,corolla calcar,有些植物的花瓣基部延长成管状或囊状，如紫花地丁、延胡索等。,,,,,
副花冠,corona,有些植物的花冠内侧或花冠与雄蕊之间生有瓣状附属物，如徐长卿、水仙等。,,,,,
十字形花冠,cruciform,花瓣4枚，分离，上部外展呈十字形排列，如菘蓝、油菜等十字花科植物的花冠。,,,,,
蝶形花冠,papilionaceous,花瓣5枚，分离，上方1枚位于最外侧且最大，称旗瓣，侧方2枚较小称翼瓣，最下方2枚最小且位于最内侧，瓣片前端常联合并向上弯曲，称龙骨瓣，如甘草、槐花等蝶形花亚科植物的花冠。若上方旗瓣最小且位于最内侧，侧方2枚翼瓣次之，迭压旗瓣，最下方2枚龙骨瓣最大，迭压翼瓣，称假蝶形花冠（false papilionaceous），如决明、苏木等云实亚科植物的花冠。,,,,,
